NAME                                        ID              SIZE      MODIFIED      
llama3.2:latest                             a80c4f17acd5    2.0 GB    10 days ago      
llama3.2:3b                                 a80c4f17acd5    2.0 GB    10 days ago      
llava:latest                                8dd30f6b0cb1    4.7 GB    2 weeks ago      
qwen3-vl:8b                                 901cae732162    6.1 GB    2 weeks ago      
qwen2.5:0.5b                                a8b0c5157701    397 MB    3 weeks ago      
atombuild/deepseek-r1-claude3.7:14b         00e84a993b5e    9.0 GB    2 months ago     
GandalfBaum/deepseek_r1-claude3.7:latest    7c50047b0750    9.0 GB    2 months ago     
GandalfBaum/llama3.2-claude3.7:latest       d7952f0f07aa    2.0 GB    2 months ago     
gpt-oss:20b                                 aa4295ac10c3    13 GB     3 months ago     
gemma3:1b                                   8648f39daa8f    815 MB    3 months ago     
gemma3:4b                                   a2af6cc3eb7f    3.3 GB    3 months ago     
phi4:14b                                    ac896e5b8b34    9.1 GB    3 months ago     
nomic-embed-text:v1.5                       0a109f422b47    274 MB    3 months ago     
nomic-embed-text:latest                     0a109f422b47    274 MB    3 months ago     
llama3.2:1b                                 baf6a787fdff    1.3 GB    3 months ago     
mxbai-embed-large:latest                    468836162de7    669 MB    3 months ago     
mistral:7b                                  6577803aa9a0    4.4 GB    4 months ago     
gemma3:12b                                  f4031aab637d    8.1 GB    4 months ago     
gemma3n:e4b                                 15cb39fd9394    7.5 GB    4 months ago     
gemma3:27b                                  a418f5838eaf    17 GB     4 months ago     
phi4:latest                                 ac896e5b8b34    9.1 GB    5 months ago     
llama3.2-vision:latest                      6f2f9757ae97    7.8 GB    5 months ago     
deepseek-r1:32b                             38056bbcbb2d    19 GB     9 months ago     
qwen2.5-coder:latest                        2b0496514337    4.7 GB    9 months ago     
deepseek-coder:6.7b                         ce298d984115    3.8 GB    11 months ago    
deepseek-coder:1.3b                         3ddd2d3fc8d2    776 MB    11 months ago    
all-minilm:latest                           1b226e2802db    45 MB     11 months ago    
granite3-dense:latest                       5c2e6f3112f4    1.6 GB    11 months ago    
tinyllama:latest                            2644915ede35    637 MB    11 months ago    
yi-coder:latest                             39c63e7675d7    5.0 GB    11 months ago    
codeup:latest                               54289661f7a9    7.4 GB    11 months ago    
dolphin-phi:latest                          c5761fc77240    1.6 GB    11 months ago    
solar:latest                                059fdabbe6e6    6.1 GB    11 months ago    
starling-lm:latest                          39153f619be6    4.1 GB    11 months ago    
neural-chat:latest                          89fa737d3b85    4.1 GB    11 months ago    
moondream:latest                            55fc3abd3867    1.7 GB    11 months ago    
wizard-math:latest                          5ab8dc2115d3    4.1 GB    11 months ago    
phi3:latest                                 4f2222927938    2.2 GB    11 months ago    
llama2-uncensored:latest                    44040b922233    3.8 GB    11 months ago    
codegemma:latest                            0c96700aaada    5.0 GB    11 months ago    
codellama:latest                            8fdf8f752f6e    3.8 GB    11 months ago    
